airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-04-27,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,7173
Spicejet,2019-05-09,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Spicejet,2019-06-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Air India,2019-05-12,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No Info,6612
Multiple Carriers,2019-05-18,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,7038
Air India,2019-06-12,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Jet Airways,2019-05-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,7229
Indigo,2019-05-15,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,6834
Multiple Carriers,2019-05-27,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,10486
Air India,2019-05-09,Kolkata,Banglore,20:30:00,08:55:00,745,1.0,No Info,10203
Indigo,2019-06-06,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Spicejet,2019-03-03,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No Info,5515
Jet Airways,2019-06-27,Delhi,Cochin,06:45:00,12:35:00,1790,2.0,In-flight meal not included,10919
Indigo,2019-06-27,Kolkata,Banglore,09:35:00,12:10:00,155,0.0,No Info,4804
Air India,2019-05-21,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No Info,13484
Air India,2019-05-06,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11701
Jet Airways,2019-05-01,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4030
Air India,2019-06-03,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6934
Vistara,2019-06-12,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Air Asia,2019-04-24,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6152
Indigo,2019-05-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Indigo,2019-03-09,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4148
Air India,2019-05-15,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No Info,7452
Indigo,2019-05-01,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,11972
Spicejet,2019-05-18,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No Info,8224
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,07:40:00,530,1.0,No Info,26890
Indigo,2019-06-24,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-06-01,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Spicejet,2019-06-03,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Multiple Carriers ,2019-03-21,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,9845
Indigo,2019-06-18,Kolkata,Banglore,20:25:00,23:10:00,165,0.0,No Info,4804
Air India,2019-04-24,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,5228
